datetime,active_leaks,new_leaks,n_tags,rolling_cost_estimate,rolling_cost_estimate_b,cum_repaired_leaks,daily_emissions_kg,total_daily_cost,repair_cost,verification_cost,natural_redund_tags,natural_n_tags,M_OGI_4x_prop_sites_avail,M_OGI_4x_cost,M_OGI_4x_sites_visited,M_OGI_4x_travel_time,M_OGI_4x_survey_time,M_OGI_4x_redund_tags,M_OGI_4x_missed_leaks,M_OGI_4x_sites_vis_w_leaks,M_OGI_4x_eff_flags,M_OGI_4x_n_tags,M_OGI_4x_flags_redund1,M_OGI_4x_flags_redund2,M_OGI_4x_flag_wo_vent
2022-01-01,222,1.0,1.0,1.9989047097480832,0.0,1.0,1647.3899631728686,2000.0,200.0,0.0,0.0,1.0,1.0,1800.0,3.0,120.0,360.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0
2022-01-02,222,0.0,0.0,3.797918948521358,0.0,1.0,1647.3899631728686,1800.0,0.0,0.0,0.0,0.0,1.0,1800.0,3.0,120.0,360.0,0.0,2.0,2.0,0.0,6.0,0.0,0.0,0.0
2022-01-03,222,0.0,0.0,5.596933187294633,0.0,1.0,1647.3899631728686,1800.0,0.0,0.0,0.0,0.0,1.0,1800.0,3.0,120.0,360.0,0.0,4.0,2.0,0.0,3.0,0.0,0.0,0.0
2022-01-04,222,1.0,1.0,7.595837897042716,0.0,2.0,1651.7165734322134,2000.0,200.0,0.0,0.0,1.0,1.0,1800.0,3.0,120.0,360.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0
2022-01-05,222,2.0,2.0,9.39485213581599,0.0,2.0,1665.5640345184572,1800.0,0.0,0.0,0.0,0.0,1.0,1800.0,3.0,120.0,360.0,0.0,2.0,2.0,0.0,5.0,0.0,0.0,0.0
2022-01-06,224,0.0,0.0,11.393756845564074,0.0,3.0,1663.3103912436354,2000.0,200.0,0.0,0.0,0.0,1.0,1800.0,3.0,120.0,360.0,0.0,5.0,3.0,0.0,8.0,0.0,0.0,0.0
2022-01-07,223,1.0,1.0,13.39266155531216,0.0,4.0,1677.0052921089189,2000.0,200.0,0.0,0.0,0.0,1.0,1800.0,3.0,120.0,360.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
2022-01-08,223,0.0,0.0,15.391566265060241,0.0,5.0,1676.4556777020614,2000.0,200.0,0.0,0.0,1.0,1.0,1800.0,3.0,120.0,360.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0
2022-01-09,222,0.0,0.0,17.590361445783135,0.0,7.0,1669.454083258923,2200.0,400.0,0.0,0.0,2.0,1.0,1800.0,3.0,120.0,360.0,0.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0
2022-01-10,220,0.0,0.0,19.38937568455641,0.0,7.0,1669.454083258923,1800.0,0.0,0.0,0.0,0.0,1.0,1800.0,3.0,120.0,360.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0
2022-01-11,220,0.0,0.0,21.38828039430449,0.0,8.0,1662.0656957720594,2000.0,200.0,0.0,0.0,1.0,1.0,1800.0,3.0,120.0,360.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-12,219,1.0,1.0,23.387185104052573,0.0,9.0,1665.36698828546,2000.0,200.0,0.0,0.0,1.0,1.0,1800.0,3.0,120.0,360.0,0.0,2.0,3.0,0.0,6.0,0.0,0.0,0.0
2022-01-13,219,1.0,1.0,25.585980284775463,0.0,11.0,1662.107284380104,2200.0,400.0,0.0,0.0,1.0,1.0,1800.0,3.0,120.0,360.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0
2022-01-14,218,0.0,0.0,27.38499452354874,0.0,11.0,1662.107284380104,1800.0,0.0,0.0,0.0,0.0,1.0,1800.0,3.0,120.0,360.0,0.0,7.0,2.0,0.0,4.0,0.0,0.0,0.0
2022-01-15,218,0.0,0.0,29.184008762322016,0.0,11.0,1662.107284380104,1800.0,0.0,0.0,0.0,0.0,1.0,1800.0,3.0,120.0,360.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0
2022-01-16,218,3.0,3.0,30.983023001095294,0.0,11.0,1670.444292291723,1800.0,0.0,0.0,0.0,0.0,1.0,1800.0,3.0,120.0,360.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0
2022-01-17,221,0.0,0.0,33.38170865279299,0.0,14.0,1643.2551959154378,2400.0,600.0,0.0,0.0,1.0,1.0,1800.0,3.0,120.0,360.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0
2022-01-18,218,1.0,1.0,36.57995618838992,0.0,21.0,1595.840264394506,3200.0,1400.0,0.0,0.0,2.0,1.0,1800.0,3.0,120.0,360.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0
2022-01-19,212,1.0,1.0,38.978641840087626,0.0,24.0,1603.9957156912649,2400.0,600.0,0.0,0.0,0.0,1.0,1800.0,3.0,120.0,360.0,0.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0
2022-01-20,210,0.0,0.0,41.177437020810515,0.0,26.0,1589.8604842104796,2200.0,400.0,0.0,0.0,0.0,1.0,1800.0,3.0,120.0,360.0,0.0,2.0,3.0,0.0,5.0,0.0,0.0,0.0
2022-01-21,208,0.0,0.0,44.175794085432635,0.0,32.0,1541.6299792867835,3000.0,1200.0,0.0,0.0,1.0,1.0,1800.0,3.0,120.0,360.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0
2022-01-22,202,2.0,2.0,47.374041621029576,0.0,39.0,1447.4150335499,3200.0,1400.0,0.0,0.0,0.0,1.0,1800.0,3.0,120.0,360.0,0.0,2.0,3.0,0.0,6.0,0.0,0.0,0.0
2022-01-23,197,1.0,1.0,49.37294633077766,0.0,40.0,1450.7185358564434,2000.0,200.0,0.0,0.0,0.0,1.0,1800.0,3.0,120.0,360.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0
2022-01-24,197,0.0,0.0,51.57174151150055,0.0,42.0,1441.6348586485863,2200.0,400.0,0.0,0.0,0.0,1.0,1800.0,3.0,120.0,360.0,0.0,3.0,3.0,0.0,4.0,0.0,0.0,0.0
2022-01-25,195,1.0,1.0,54.17031763417305,0.0,46.0,1391.2867939770981,2600.0,800.0,0.0,0.0,0.0,1.0,1800.0,3.0,120.0,360.0,0.0,2.0,3.0,0.0,8.0,0.0,0.0,0.0
2022-01-26,192,0.0,0.0,56.36911281489594,0.0,48.0,1355.9652518856644,2200.0,400.0,0.0,0.0,0.0,1.0,1800.0,3.0,120.0,360.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-27,190,1.0,1.0,58.36801752464403,0.0,49.0,1357.2912505830793,2000.0,200.0,0.0,0.0,0.0,1.0,1800.0,3.0,120.0,360.0,0.0,5.0,3.0,0.0,7.0,0.0,0.0,0.0
2022-01-28,190,1.0,1.0,61.36637458926615,0.0,55.0,1298.2965919071835,3000.0,1200.0,0.0,0.0,0.0,1.0,1800.0,3.0,120.0,360.0,0.0,1.0,2.0,0.0,7.0,0.0,0.0,0.0
2022-01-29,185,0.0,0.0,63.765060240963855,0.0,58.0,1283.6427278214833,2400.0,600.0,0.0,0.0,0.0,1.0,1800.0,3.0,120.0,360.0,0.0,2.0,2.0,0.0,5.0,0.0,0.0,0.0
2022-01-30,182,0.0,0.0,66.36363636363637,0.0,62.0,1248.7449892457266,2600.0,800.0,0.0,0.0,0.0,1.0,1800.0,3.0,120.0,360.0,0.0,3.0,3.0,0.0,6.0,0.0,0.0,0.0
2022-01-31,178,0.0,0.0,68.56243154435926,0.0,64.0,1232.4190925780674,2200.0,400.0,0.0,0.0,0.0,1.0,1800.0,3.0,120.0,360.0,0.0,4.0,3.0,0.0,4.0,0.0,0.0,0.0
2022-02-01,176,0.0,0.0,71.16100766703177,0.0,68.0,1187.0428983373768,2600.0,800.0,0.0,0.0,0.0,1.0,1800.0,3.0,120.0,360.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0
2022-02-02,172,1.0,1.0,73.95947426067909,0.0,73.0,1121.209996979435,2800.0,1000.0,0.0,0.0,0.0,1.0,1800.0,3.0,120.0,360.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0
2022-02-03,168,2.0,2.0,74.75903614457832,0.0,74.0,1128.5961926981354,800.0,200.0,0.0,0.0,1.0,1.0,600.0,1.0,60.0,120.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0
2022-02-04,169,2.0,2.0,75.15881708652792,0.0,76.0,1113.7138718817775,400.0,400.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-05,169,0.0,0.0,75.95837897042716,0.0,80.0,1072.161951849049,800.0,800.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-06,165,1.0,1.0,77.15772179627601,0.0,86.0,1025.5011743395912,1200.0,1200.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-07,160,1.0,1.0,77.75739320920044,0.0,89.0,1027.700313111894,600.0,600.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-08,158,1.0,1.0,78.95673603504929,0.0,95.0,964.6871940409599,1200.0,1200.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-09,153,1.0,1.0,79.55640744797371,0.0,98.0,958.53936548268,600.0,600.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-10,151,0.0,0.0,80.35596933187294,0.0,102.0,921.3811631174517,800.0,800.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-11,147,0.0,0.0,81.75520262869661,0.0,109.0,859.9705860268947,1400.0,1400.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-12,140,1.0,1.0,81.75520262869661,0.0,109.0,864.4335125683639,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-13,141,0.0,0.0,82.95454545454545,0.0,115.0,811.2895490922455,1200.0,1200.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-14,135,0.0,0.0,84.3537787513691,0.0,122.0,748.6841701128935,1400.0,1400.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-15,128,1.0,1.0,85.35323110624314,0.0,127.0,728.2003252112136,1000.0,1000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-16,124,0.0,0.0,86.552573932092,0.0,133.0,671.6705857566747,1200.0,1200.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-17,118,0.0,0.0,87.35213581599125,0.0,137.0,458.5012440664021,800.0,800.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,114,1.0,1.0,88.15169769989048,0.0,141.0,417.9408084309132,800.0,800.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-19,111,2.0,2.0,88.35158817086527,0.0,142.0,419.61605450831223,200.0,200.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-20,112,0.0,0.0,88.7513691128149,0.0,144.0,388.8281728472128,400.0,400.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-21,110,1.0,1.0,88.7513691128149,0.0,144.0,401.6992021824755,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-22,111,0.0,0.0,88.7513691128149,0.0,144.0,401.6992021824755,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-23,111,2.0,2.0,88.9512595837897,0.0,145.0,412.3980511035073,200.0,200.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-24,112,0.0,0.0,88.9512595837897,0.0,145.0,412.3980511035073,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-25,112,0.0,0.0,88.9512595837897,0.0,145.0,412.3980511035073,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-26,112,0.0,0.0,88.9512595837897,0.0,145.0,412.3980511035073,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-27,112,0.0,0.0,89.15115005476451,0.0,146.0,408.7124253615123,200.0,200.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-28,111,0.0,0.0,89.15115005476451,0.0,146.0,408.7124253615123,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,111,1.0,1.0,89.15115005476451,0.0,146.0,409.8728977386519,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-02,112,1.0,1.0,89.35104052573932,0.0,147.0,435.1356578041083,200.0,200.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-03,112,1.0,1.0,89.55093099671413,0.0,148.0,434.92444861126205,200.0,200.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-04,112,0.0,0.0,89.55093099671413,0.0,148.0,434.92444861126205,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-05,112,0.0,0.0,89.55093099671413,0.0,148.0,434.92444861126205,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-06,112,0.0,0.0,89.55093099671413,0.0,148.0,434.92444861126205,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-07,112,1.0,1.0,89.95071193866376,0.0,150.0,429.77935325459543,400.0,400.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-08,111,0.0,0.0,89.95071193866376,0.0,150.0,429.77935325459543,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-09,111,0.0,0.0,89.95071193866376,0.0,150.0,429.77935325459543,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-10,111,0.0,0.0,89.95071193866376,0.0,150.0,429.77935325459543,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,111,1.0,1.0,89.95071193866376,0.0,150.0,445.11225774139274,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12,112,0.0,0.0,89.95071193866376,0.0,150.0,445.11225774139274,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13,112,1.0,1.0,89.95071193866376,0.0,150.0,453.65053317203046,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14,113,0.0,0.0,89.95071193866376,0.0,150.0,453.65053317203046,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-15,113,1.0,1.0,89.95071193866376,0.0,150.0,454.5375954244203,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-16,114,0.0,0.0,89.95071193866376,0.0,150.0,454.5375954244203,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-17,114,0.0,0.0,89.95071193866376,0.0,150.0,454.5375954244203,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-18,114,3.0,3.0,89.95071193866376,0.0,150.0,465.6429102159646,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-19,117,0.0,0.0,89.95071193866376,0.0,150.0,465.6429102159646,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-20,117,0.0,0.0,90.15060240963857,0.0,151.0,460.32372770744377,200.0,200.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-21,116,0.0,0.0,90.15060240963857,0.0,151.0,460.32372770744377,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-22,116,1.0,1.0,90.35049288061336,0.0,152.0,477.7636050069596,200.0,200.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-23,116,0.0,0.0,90.55038335158817,0.0,153.0,477.68606005801985,200.0,200.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-24,115,1.0,1.0,90.55038335158817,0.0,153.0,479.6011275718161,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-25,116,1.0,1.0,90.55038335158817,0.0,153.0,482.97235890583,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-26,117,0.0,0.0,90.55038335158817,0.0,153.0,482.97235890583,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-27,117,0.0,0.0,90.55038335158817,0.0,153.0,482.97235890583,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-28,117,0.0,0.0,90.55038335158817,0.0,153.0,482.97235890583,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-29,117,0.0,0.0,90.55038335158817,0.0,153.0,482.97235890583,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-30,117,1.0,1.0,90.55038335158817,0.0,153.0,495.0367276039123,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,118,0.0,0.0,90.75027382256297,0.0,154.0,494.31118357760585,200.0,200.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,117,0.0,0.0,90.75027382256297,0.0,154.0,494.31118357760585,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-02,117,0.0,0.0,92.74917853231105,0.0,155.0,491.34268693425923,2000.0,200.0,0.0,0.0,1.0,1.0,1800.0,3.0,120.0,360.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-03,116,0.0,0.0,94.54819277108435,0.0,155.0,491.34268693425923,1800.0,0.0,0.0,0.0,0.0,1.0,1800.0,3.0,120.0,360.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0
2022-04-04,116,2.0,2.0,96.34720700985761,0.0,155.0,516.2463758932563,1800.0,0.0,0.0,0.0,0.0,1.0,1800.0,3.0,120.0,360.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0
2022-04-05,118,0.0,0.0,98.34611171960569,0.0,156.0,511.136902628567,2000.0,200.0,0.0,0.0,1.0,1.0,1800.0,3.0,120.0,360.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
2022-04-06,117,1.0,1.0,100.14512595837897,0.0,156.0,514.1614115142013,1800.0,0.0,0.0,0.0,0.0,1.0,1800.0,3.0,120.0,360.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0
2022-04-07,118,0.0,0.0,102.14403066812706,0.0,157.0,510.7566004932599,2000.0,200.0,0.0,0.0,1.0,1.0,1800.0,3.0,120.0,360.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0
2022-04-08,117,0.0,0.0,103.94304490690034,0.0,157.0,510.7566004932599,1800.0,0.0,0.0,0.0,0.0,1.0,1800.0,3.0,120.0,360.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0
2022-04-09,117,0.0,0.0,105.74205914567361,0.0,157.0,510.7566004932599,1800.0,0.0,0.0,0.0,0.0,1.0,1800.0,3.0,120.0,360.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
2022-04-10,117,1.0,1.0,107.74096385542168,0.0,158.0,511.4384086301871,2000.0,200.0,0.0,0.0,1.0,1.0,1800.0,3.0,120.0,360.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
2022-04-11,117,0.0,0.0,109.53997809419496,0.0,158.0,511.4384086301871,1800.0,0.0,0.0,0.0,0.0,1.0,1800.0,3.0,120.0,360.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0
2022-04-12,117,0.0,0.0,111.33899233296825,0.0,158.0,511.4384086301871,1800.0,0.0,0.0,0.0,0.0,1.0,1800.0,3.0,120.0,360.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0
2022-04-13,117,0.0,0.0,113.13800657174151,0.0,158.0,511.4384086301871,1800.0,0.0,0.0,0.0,0.0,1.0,1800.0,3.0,120.0,360.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2022-04-14,117,0.0,0.0,114.93702081051478,0.0,158.0,511.4384086301871,1800.0,0.0,0.0,0.0,0.0,1.0,1800.0,3.0,120.0,360.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
2022-04-15,117,1.0,1.0,116.73603504928806,0.0,158.0,515.5605499307965,1800.0,0.0,0.0,0.0,0.0,1.0,1800.0,3.0,120.0,360.0,0.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0
2022-04-16,118,0.0,0.0,118.73493975903615,0.0,159.0,507.28256790006844,2000.0,200.0,0.0,0.0,1.0,1.0,1800.0,3.0,120.0,360.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
2022-04-17,117,1.0,1.0,120.53395399780942,0.0,159.0,513.6631218218741,1800.0,0.0,0.0,0.0,0.0,1.0,1800.0,3.0,120.0,360.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0
2022-04-18,118,0.0,0.0,122.33296823658269,0.0,159.0,513.6631218218741,1800.0,0.0,0.0,0.0,0.0,1.0,1800.0,3.0,120.0,360.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
2022-04-19,118,2.0,2.0,124.73165388828039,0.0,162.0,503.239326128176,2400.0,600.0,0.0,0.0,0.0,1.0,1800.0,3.0,120.0,360.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-20,117,0.0,0.0,126.73055859802848,0.0,163.0,502.0785160635345,2000.0,200.0,0.0,0.0,0.0,1.0,1800.0,3.0,120.0,360.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-21,116,0.0,0.0,128.72946330777657,0.0,164.0,489.2075539984504,2000.0,200.0,0.0,0.0,0.0,1.0,1800.0,3.0,120.0,360.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0
2022-04-22,115,0.0,0.0,130.92825848849944,0.0,166.0,470.6444895183957,2200.0,400.0,0.0,0.0,0.0,1.0,1800.0,3.0,120.0,360.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
2022-04-23,113,1.0,1.0,133.52683461117195,0.0,170.0,466.81617603085976,2600.0,800.0,0.0,0.0,0.0,1.0,1800.0,3.0,120.0,360.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
2022-04-24,110,0.0,0.0,135.92552026286967,0.0,173.0,457.02321008739756,2400.0,600.0,0.0,0.0,1.0,1.0,1800.0,3.0,120.0,360.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0
2022-04-25,107,2.0,2.0,137.92442497261774,0.0,174.0,458.72643563428136,2000.0,200.0,0.0,0.0,0.0,1.0,1800.0,3.0,120.0,360.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0
2022-04-26,108,3.0,3.0,139.92332968236585,0.0,175.0,534.7143863073788,2000.0,200.0,0.0,0.0,0.0,1.0,1800.0,3.0,120.0,360.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0
2022-04-27,110,1.0,1.0,142.52190580503833,0.0,179.0,528.7113234148944,2600.0,800.0,0.0,0.0,1.0,1.0,1800.0,3.0,120.0,360.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0
2022-04-28,107,0.0,0.0,144.52081051478643,0.0,180.0,527.9281755777429,2000.0,200.0,0.0,0.0,0.0,1.0,1800.0,3.0,120.0,360.0,0.0,3.0,3.0,0.0,6.0,0.0,0.0,0.0
2022-04-29,106,0.0,0.0,146.7196056955093,0.0,182.0,520.8196298396665,2200.0,400.0,0.0,0.0,1.0,1.0,1800.0,3.0,120.0,360.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
